name,category,price
Smartphone,Electronics,899.99
Wireless Headphones,Electronics,129.99
Smart Watch,Electronics,349.99
Tablet,Electronics,649.99
4K Television,Electronics,1299.99
Gaming Laptop,Electronics,1899.99
DSLR Camera,Electronics,999.99
Mechanical Keyboard,Electronics,149.99
External SSD 1TB,Electronics,129.99
Winter Jacket,Clothing,149.99
Leather Jacket,Clothing,229.99
Refrigerator,Appliances,1899.99
Washing Machine,Appliances,899.99
Microwave Oven,Appliances,199.99
Coffee Maker,Appliances,129.99
Air Fryer,Appliances,149.99
Vacuum Cleaner,Appliances,349.99
Dishwasher,Appliances,1199.99
Office Chair,Accessories,299.99
"Monitor 27""",Electronics,429.99
Gaming Chair,Accessories,399.99
Projector,Electronics,799.99
Robot Vacuum,Appliances,599.99
Fitness Tracker,Accessories,129.99
Dumbbells Set,Accessories,149.99
Perfume,Beauty,129.99
Wireless Earbuds,Electronics,199.99
Action Camera,Electronics,349.99
E-Reader,Accessories,149.99
Formal Shoes,Clothing,129.99
"Smart TV 55""",Electronics,899.99
Soundbar,Electronics,299.99
Standing Desk,Accessories,449.99
Ergonomic Chair,Accessories,599.99
Straightener,Appliances,129.99
Sofa,Home,1299.99
Dining Table,Home,899.99
Bed Frame,Home,699.99
Coffee Table,Home,249.99
Portable SSD,Electronics,159.99
Wireless Router,Electronics,129.99
Winter Boots,Clothing,139.99
